image,n_ground_truth,n_predicted,n_false_negative,n_false_positive
B-36-_jpg.rf.616b5fbafbbd9d145cc6a5533b5ada40.jpg,2,1,2,1
H-51-_jpg.rf.3c000397940e7c5a69612e1cc5413354.jpg,1,1,1,1
N-119-_jpg.rf.95e5304cd3fba9cbf624c246a5e73ebe.jpg,1,4,0,3
N-146-_jpg.rf.16ac97cda824848e9836cc33f20f6160.jpg,1,1,1,1
N-194-_jpg.rf.caa0f7b2d738c826c11e8c43af4e2cdd.jpg,1,2,0,1
RF-198-_jpg.rf.c0299ea976864075abab0c7bb20908cb.jpg,1,1,1,1
S-34-_jpg.rf.474ea199eaa21855a84d113e154a7d24.jpg,1,2,0,1
S-85-_jpg.rf.54586c9a0db16cad0db89394cc5a0d4c.jpg,1,2,0,1
aug_0_B-143-_jpg.rf.aab943bca3ea38905e3171f55b434220.jpg,1,1,1,1
aug_0_B-36-_jpg.rf.616b5fbafbbd9d145cc6a5533b5ada40.jpg,2,0,2,0
aug_0_H-190-_jpg.rf.054592fdeb4ad2e5c9159339b2a6e0b3.jpg,1,1,1,1
aug_0_S-101-_jpg.rf.2770e49e2aafae0f084721c83aedaf55.jpg,3,13,0,10
aug_0_S-34-_jpg.rf.474ea199eaa21855a84d113e154a7d24.jpg,1,2,0,1
aug_1_B-177-_jpg.rf.7b89fb6ecb534dfc72bfb8e0cf646292.jpg,1,1,1,1
aug_1_B-36-_jpg.rf.616b5fbafbbd9d145cc6a5533b5ada40.jpg,2,2,2,2
aug_1_H-51-_jpg.rf.3c000397940e7c5a69612e1cc5413354.jpg,1,1,1,1
aug_1_S-7-_jpg.rf.c579011d24ff7f72a85ed1caa9eb007c.jpg,1,2,0,1
aug_B-11-_jpg.rf.ac6be52ef47210b363f38fc32472bc5a_bright.jpg,1,1,1,1
aug_B-115-_jpg.rf.ed9196e66905605f51f25cf848485088_bright.jpg,1,3,0,2
aug_B-115-_jpg.rf.ed9196e66905605f51f25cf848485088_contrast.jpg,1,4,0,3
aug_B-143-_jpg.rf.aab943bca3ea38905e3171f55b434220_bright.jpg,1,2,0,1
aug_B-168-_jpg.rf.634982fb333e169ecb184ef2d14382b2_orig.jpg,1,4,0,3
aug_B-24-_jpg.rf.4b22c828b87c71580ecdf6bd07ca390c_bright.jpg,1,2,0,1
aug_B-52-_jpg.rf.c052bcdf06f1ef10f37dee7e74f65c43_contrast.jpg,1,1,1,1
aug_B-55-_jpg.rf.7eea05f5aa94141070fcf7068c07c3d3_contrast.jpg,1,2,0,1
aug_B-58-_jpg.rf.729531acb2d817f813deeeb11f5f4f39_orig.jpg,1,3,0,2
aug_B-66-_jpg.rf.4448fc83f75b1b607987695d7abb6755_orig.jpg,1,2,0,1
aug_B-87-_jpg.rf.5bf812d617d6f81918c38b39479163e1_orig.jpg,1,2,0,1
aug_B-89-_jpg.rf.6ee52e7fc26cc1c772c30e6e1573e8b2_bright.jpg,1,2,0,1
aug_B-95-_jpg.rf.37eaa0b12372990d0ebe89fc63ecd97c_bright.jpg,1,1,1,1
aug_C-29-_jpg.rf.0dbe886b964cb7777331ef2da542105d_bright.jpg,1,2,0,1
aug_C-91-_jpg.rf.3fd67c3e84819aa18f570bdf1f452c01_contrast.jpg,1,2,0,1
aug_C-91-_jpg.rf.3fd67c3e84819aa18f570bdf1f452c01_orig.jpg,1,2,0,1
aug_C-94-_jpg.rf.78c7ce928f4cebf621775b2067ee7dc8_flip.jpg,1,3,0,2
aug_H-126-_jpg.rf.4925a908b91387fd3dbb0a143ba84981_contrast.jpg,1,2,0,1
aug_H-180-_jpg.rf.b1e32d5800a98a8ad45688b35e5875dd_bright.jpg,1,1,1,1
aug_H-180-_jpg.rf.b1e32d5800a98a8ad45688b35e5875dd_orig.jpg,1,2,0,1
aug_H-25-_jpg.rf.38cb159e5c4b71fa27aa7911bea0a0b7_flip.jpg,1,3,0,2
aug_H-25-_jpg.rf.38cb159e5c4b71fa27aa7911bea0a0b7_orig.jpg,1,2,0,1
aug_H-81-_jpg.rf.bd9859e260700dda23a4770a971a8954_bright.jpg,1,2,0,1
aug_N-106-_jpg.rf.1d2ae99399684f7ba335fa4bcdbd2fd9_flip.jpg,1,1,1,1
aug_N-163-_jpg.rf.89f5bf80b20861f74eddd695e2610c8f_orig.jpg,1,6,0,5
aug_N-195-_jpg.rf.3ee645bdf6cfb14b71806cea54360b09_bright.jpg,1,9,0,8
aug_N-52-_jpg.rf.0da27d80f319a7df012fc0115d646c28_orig.jpg,1,28,0,27
aug_RF-34-_jpg.rf.bb0fad312a2e00cd1b6f354769cdd56d_flip.jpg,1,2,0,1
aug_RF-38-_jpg.rf.82b0eb7a19a5e9d47600e64a781f79c4_orig.jpg,1,2,0,1
aug_RF-88-_jpg.rf.4179da37a8dd5fc06b31cddc3a79894e_flip.jpg,1,2,0,1
aug_S-10-_jpg.rf.4e83445c966a8e0d4c4f13afaf915ed2_contrast.jpg,2,3,0,1
aug_S-122-_jpg.rf.74e9a892e88cef693408d775c8315eb1_contrast.jpg,1,2,0,1
aug_S-143-_jpg.rf.1a3c9a02fd04d99ce4b96d92fedea41a_flip.jpg,1,2,0,1
aug_S-154-_jpg.rf.ac62497d3c91d17332c8ac5261ea6ab2_contrast.jpg,1,3,0,2
aug_S-191-_jpg.rf.8fb270baff5bfe4551795274b5b2ec80_orig.jpg,1,7,0,6
aug_S-199-_jpg.rf.870dc6f3d753313a39d77295e0450a0a_flip.jpg,1,23,0,22
