epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.913,1.21811,1.65839,1.85089,0.441,0.6396,0.50644,0.23869,1.63287,1.91736,2.16591,0.00332943,0.00332943,0.0700352
2,412.617,1.09234,1.4391,1.73694,0.39677,0.67845,0.50871,0.30984,1.31885,1.53942,1.9487,0.00661878,0.00661878,0.0399912
3,616.595,1.02545,1.34567,1.67961,0.61865,0.67133,0.62717,0.38692,1.23918,1.29533,1.77776,0.00986414,0.00986414,0.00990322
4,820.525,0.96202,1.26279,1.62758,0.61394,0.66315,0.64189,0.38095,1.36287,1.32622,1.79634,0.009802,0.009802,0.009802
5,1024.52,0.91347,1.18986,1.58436,0.70806,0.73706,0.71997,0.48076,1.09539,1.10412,1.57766,0.009736,0.009736,0.009736
6,1227.96,0.86952,1.13246,1.54775,0.68725,0.7636,0.73408,0.49192,1.06494,1.0584,1.54183,0.00967,0.00967,0.00967
7,1432.31,0.8529,1.08414,1.52908,0.678,0.72096,0.72244,0.494,1.07333,1.11224,1.55974,0.009604,0.009604,0.009604
8,1635.37,0.82544,1.04588,1.50803,0.73075,0.77393,0.80111,0.57733,0.9287,0.93757,1.42386,0.009538,0.009538,0.009538
9,1839.31,0.78834,0.99768,1.47653,0.77378,0.81915,0.83189,0.59352,0.95957,0.83468,1.4029,0.009472,0.009472,0.009472
10,2043.38,0.75188,0.94583,1.44218,0.78956,0.80991,0.84678,0.6219,0.88082,0.82272,1.34598,0.009406,0.009406,0.009406
11,2246.61,0.73173,0.91276,1.41635,0.85588,0.83407,0.8674,0.66483,0.80135,0.72235,1.27875,0.00934,0.00934,0.00934
12,2449.91,0.7026,0.87141,1.39506,0.79595,0.84941,0.87001,0.66689,0.80437,0.72417,1.2944,0.009274,0.009274,0.009274
13,2654.22,0.68245,0.85012,1.37253,0.8922,0.8565,0.90683,0.71175,0.75173,0.62971,1.20584,0.009208,0.009208,0.009208
14,2858.47,0.66825,0.82186,1.35732,0.89444,0.87964,0.92912,0.7451,0.67578,0.56137,1.14087,0.009142,0.009142,0.009142
15,3062.02,0.6506,0.78746,1.34319,0.87741,0.89765,0.92647,0.75845,0.68209,0.55116,1.1242,0.009076,0.009076,0.009076
16,3265.91,0.63268,0.76053,1.32495,0.88794,0.89673,0.93671,0.77789,0.63797,0.5437,1.09781,0.00901,0.00901,0.00901
17,3470.56,0.60465,0.7365,1.30112,0.91632,0.91798,0.95341,0.79925,0.60155,0.48434,1.05827,0.008944,0.008944,0.008944
18,3675,0.58956,0.7078,1.28838,0.92174,0.92088,0.95876,0.80892,0.60411,0.47966,1.05747,0.008878,0.008878,0.008878
19,3878.04,0.58265,0.69047,1.27823,0.92932,0.93197,0.96445,0.83049,0.57086,0.45549,1.02474,0.008812,0.008812,0.008812
20,4081.81,0.57056,0.67972,1.26398,0.92853,0.93845,0.96617,0.83794,0.55966,0.44429,0.99963,0.008746,0.008746,0.008746
21,4286.19,0.55792,0.65914,1.25502,0.9421,0.93194,0.96478,0.84715,0.52659,0.42012,0.97222,0.00868,0.00868,0.00868
22,4490.23,0.54355,0.63993,1.24041,0.95824,0.93473,0.96979,0.85277,0.50733,0.40591,0.95054,0.008614,0.008614,0.008614
23,4693.51,0.53453,0.62441,1.23079,0.93892,0.94338,0.97268,0.86004,0.50424,0.40256,0.94274,0.008548,0.008548,0.008548
24,4897.7,0.52092,0.61445,1.21844,0.94942,0.96303,0.97676,0.86453,0.48443,0.37074,0.91675,0.008482,0.008482,0.008482
25,5101.87,0.5114,0.60389,1.21281,0.95953,0.95311,0.97705,0.87489,0.476,0.37303,0.91051,0.008416,0.008416,0.008416
26,5306.03,0.50288,0.5872,1.20142,0.96018,0.94602,0.97896,0.87763,0.45106,0.37542,0.87868,0.00835,0.00835,0.00835
27,5510.35,0.49201,0.57499,1.1912,0.95403,0.95083,0.97649,0.88516,0.44443,0.37438,0.86839,0.008284,0.008284,0.008284
28,5715.05,0.48623,0.56634,1.18699,0.95776,0.96781,0.98278,0.89445,0.43322,0.35197,0.86318,0.008218,0.008218,0.008218
29,5919.15,0.48625,0.56058,1.18392,0.96139,0.96714,0.98297,0.89773,0.43502,0.34623,0.86608,0.008152,0.008152,0.008152
30,6122.5,0.47026,0.54965,1.17355,0.96755,0.96901,0.98338,0.90451,0.42633,0.33767,0.86161,0.008086,0.008086,0.008086
31,6327.36,0.46779,0.54116,1.17046,0.97075,0.95531,0.98307,0.90687,0.41365,0.34279,0.83921,0.00802,0.00802,0.00802
32,6531.92,0.4575,0.5269,1.15941,0.94959,0.97559,0.98412,0.91051,0.41332,0.32929,0.84633,0.007954,0.007954,0.007954
33,6736.67,0.45501,0.51876,1.15939,0.97594,0.97066,0.98669,0.91463,0.39864,0.33116,0.82817,0.007888,0.007888,0.007888
34,6939.61,0.44298,0.51621,1.1485,0.97166,0.96866,0.98692,0.91619,0.39133,0.32787,0.82192,0.007822,0.007822,0.007822
35,7143.55,0.43933,0.5039,1.14586,0.97729,0.96711,0.988,0.91782,0.38877,0.31641,0.81963,0.007756,0.007756,0.007756
36,7348.48,0.4322,0.49981,1.14061,0.97336,0.97286,0.98693,0.92111,0.38323,0.31182,0.81203,0.00769,0.00769,0.00769
37,7552.09,0.42671,0.49228,1.13507,0.97992,0.97021,0.98677,0.9261,0.36441,0.30479,0.78506,0.007624,0.007624,0.007624
38,7756.01,0.42809,0.49136,1.13372,0.97951,0.97916,0.98815,0.92738,0.36738,0.30658,0.79211,0.007558,0.007558,0.007558
39,7960.34,0.41588,0.47853,1.12106,0.9759,0.98064,0.98901,0.93089,0.36025,0.29862,0.7836,0.007492,0.007492,0.007492
40,8165.06,0.41357,0.47577,1.12003,0.97907,0.98083,0.98932,0.93336,0.35835,0.29614,0.78258,0.007426,0.007426,0.007426
41,8369.47,0.41141,0.46996,1.11968,0.98043,0.97952,0.98906,0.93304,0.35833,0.29865,0.78198,0.00736,0.00736,0.00736
42,8573.83,0.40453,0.4657,1.11263,0.98407,0.98047,0.99007,0.93715,0.35258,0.29824,0.77656,0.007294,0.007294,0.007294
43,8778.34,0.3974,0.46053,1.11042,0.98187,0.98503,0.99018,0.93871,0.33962,0.29573,0.75567,0.007228,0.007228,0.007228
44,8982.74,0.39992,0.46096,1.10968,0.98035,0.98358,0.98927,0.9382,0.34347,0.30083,0.76288,0.007162,0.007162,0.007162
45,9185.96,0.38997,0.44606,1.10173,0.98024,0.98403,0.99006,0.938,0.34618,0.29461,0.76895,0.007096,0.007096,0.007096
46,9390.6,0.38759,0.44586,1.09787,0.98115,0.98241,0.98998,0.93996,0.34465,0.28802,0.7706,0.00703,0.00703,0.00703
47,9595.31,0.38027,0.44331,1.09149,0.98,0.98503,0.99105,0.94358,0.33663,0.28141,0.75977,0.006964,0.006964,0.006964
